id,umur_kendaraan,jarak_tempuh_tahun,frekuensi_servis_tahun,km_oli,km_rem,km_busi,km_ban,kelas,created_at,updated_at
922,7,27079,3,4067,14157,12239,57109,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
923,8,49854,4,4218,14578,12606,25598,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
924,9,28853,1,4369,14999,12973,26409,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
925,11,29740,2,1520,15420,13340,27220,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
926,11,12627,3,9337,15841,13707,28031,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
927,1,13514,4,1822,34866,14074,28842,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
928,2,14401,5,1973,16683,34001,29653,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
929,3,15288,2,2124,7104,14808,63948,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
930,4,57575,3,2275,7525,15175,31275,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
931,5,17062,0,2426,7946,15542,32086,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
932,11,17949,5,2577,8367,15909,32897,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
933,7,18836,2,10716,8788,16276,33708,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
934,8,19723,3,2879,39437,16643,34519,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
935,9,20610,4,3030,9630,38110,35330,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
936,10,21497,5,3181,10051,6377,70787,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
937,11,33296,2,3332,10472,6744,36952,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
938,1,23271,1,3483,10893,7111,11763,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
939,11,24158,4,3634,11314,7478,12574,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
940,3,25045,5,12095,11735,7845,13385,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
941,4,25932,2,3936,44008,8212,14196,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
942,5,26819,3,4087,12577,42219,15007,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
943,6,27706,4,4238,12998,8946,77626,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
944,7,41017,5,4389,13419,9313,16629,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
945,8,29480,0,1540,13840,9680,17440,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
946,11,12367,3,1691,14261,10047,18251,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
947,10,13254,4,5874,14682,10414,19062,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
948,11,14141,5,1993,22579,10781,19873,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
949,1,15028,2,2144,15524,22328,20684,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
950,2,15915,3,2295,15945,11515,45465,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
951,3,48738,4,2446,16366,11882,22306,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
952,4,17689,1,2597,16787,12249,23117,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
953,11,18576,2,2748,7208,12616,23928,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
954,6,19463,3,7253,7629,12983,24739,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
955,7,20350,4,3050,27150,13350,25550,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
956,8,21237,5,3201,8471,26437,26361,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
957,9,22124,2,3352,8892,14084,52304,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
958,10,56459,3,3503,9313,14451,27983,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
959,11,23898,0,3654,9734,14818,28794,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
960,11,24785,5,3805,10155,15185,29605,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
961,2,25672,2,8632,10576,15552,30416,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
962,3,26559,3,4107,31721,15919,31227,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
963,4,27446,4,4258,11418,30546,32038,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
964,5,28333,5,4409,11839,16653,59143,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
965,6,32180,2,1560,12260,6020,33660,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
966,7,12107,1,1711,12681,6387,34471,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
967,11,12994,4,1862,13102,6754,35282,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
968,9,13881,5,10011,13523,7121,36093,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
969,10,14768,2,2164,36292,7488,36904,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
970,11,15655,3,2315,14365,34655,11715,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
971,1,16542,4,2466,14786,8222,65982,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
972,2,39901,5,2617,15207,8589,13337,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
973,3,18316,0,2768,15628,8956,14148,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
974,11,19203,3,2919,16049,9323,14959,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
975,5,20090,4,11390,16470,9690,15770,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
976,6,20977,5,3221,40863,10057,16581,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
977,7,21864,2,3372,7312,38764,17392,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
978,8,22751,3,3523,7733,10791,72821,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
979,9,47622,4,3674,8154,11158,19014,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
980,10,24525,1,3825,8575,11525,19825,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
981,11,25412,2,3976,8996,11892,20636,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
982,1,26299,3,12769,9417,12259,21447,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
983,2,27186,4,4278,45434,12626,22258,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
984,3,28073,5,4429,10259,42873,23069,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
985,4,28960,2,1580,10680,13360,40660,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
986,5,55343,3,1731,11101,13727,24691,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
987,6,12734,0,1882,11522,14094,25502,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
988,11,13621,5,2033,11943,14461,26313,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
989,8,14508,2,6548,12364,14828,27124,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
990,9,15395,3,2335,24005,15195,27935,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
991,10,16282,4,2486,13206,22982,28746,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
992,11,17169,5,2637,13627,15929,47499,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
993,1,31064,2,2788,14048,16296,30368,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
994,2,18943,1,2939,14469,16663,31179,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
995,11,19830,4,3090,14890,6030,31990,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
996,4,20717,5,7927,15311,6397,32801,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
997,5,21604,2,3392,28576,6764,33612,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
998,6,22491,3,3543,16153,27091,34423,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
999,7,23378,4,3694,16574,7498,54338,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
1000,8,38785,5,3845,16995,7865,36045,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
1001,9,25152,0,3996,7416,8232,36856,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
1002,11,26039,3,4147,7837,8599,11667,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
1003,11,26926,4,9306,8258,8966,12478,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
1004,1,27813,5,4449,33147,9333,13289,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
1005,2,28700,2,1600,9100,31200,14100,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
1006,9,22124,2,3352,8892,14084,52304,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
1007,6,22491,3,3543,16153,27091,34423,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
1008,5,25305,5,3765,30295,11505,23165,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
1009,7,21864,2,3372,7312,38764,17392,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
1010,7,12107,1,1711,12681,6387,34471,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
1011,11,12627,3,9337,15841,13707,28031,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
1012,11,13621,5,2033,11943,14461,26313,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
1013,11,17169,5,2637,13627,15929,47499,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
1014,10,24525,1,3825,8575,11525,19825,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
1015,10,24525,1,3825,8575,11525,19825,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
1016,1,31064,2,2788,14048,16296,30368,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
1017,2,28700,2,1600,9100,31200,14100,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
1018,3,15288,2,2124,7104,14808,63948,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
1019,4,14661,5,1953,8263,7101,43431,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
1020,1,13514,4,1822,34866,14074,28842,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
1021,10,56459,3,3503,9313,14451,27983,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
1022,3,13774,4,1802,7842,21674,12622,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
1023,1,31064,2,2788,14048,16296,30368,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
1024,9,20610,4,3030,9630,38110,35330,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
1025,6,27706,4,4238,12998,8946,77626,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
1026,3,13774,4,1802,7842,21674,12622,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
1027,10,14768,2,2164,36292,7488,36904,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
1028,6,32180,2,1560,12260,6020,33660,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
1029,11,12627,3,9337,15841,13707,28031,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
1030,1,23271,1,3483,10893,7111,11763,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
